-- ADDRESS


insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 37439, 'Alcácer do Sal', '6 Heath Hill');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 89904, 'Boliden', '64110 Pleasure Park');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 29104, 'Seattle', '5 Lighthouse Bay Park');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 62794, 'Kota Kinabalu', '44127 Maple Junction');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 64590, 'Donglai', '607 Dunning Circle');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 80289, 'Tuwiri Wetan', '03976 Rutledge Street');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 52512, 'Wang Noi', '9984 Talisman Park');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 45610, 'Ituiutaba', '6515 Sommers Road');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 60917, 'Okuta', '3 Sunnyside Lane');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 62813, 'Nyrob', '406 Farragut Avenue');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 78909, 'Matsushima', '66216 Atwood Parkway');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 96472, 'Shijiao', '558 Warner Avenue');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 33633, 'Szprotawa', '840 Granby Center');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 98355, 'Changzheng', '68 Pearson Parkway');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 71596, 'Ricardo Palma', '440 Sage Road');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 92436, 'Nässjö', '893 Killdeer Way');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 42358, 'Gowa', '628 Prairieview Court');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 91584, 'Orléans', '618 Armistice Trail');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 57206, 'Milano', '30 Thierer Park');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 50240, 'Hengli', '13 Village Green Way');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 92798, 'Sauga', '38 Pierstorff Hill');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 63352, 'Brgy. Nalook, kalibo', '2 Ramsey Pass');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 67552, 'Ol Kalou', '8 Northfield Drive');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 28788, 'Shuanggang', '54092 Summerview Road');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 92336, 'Volgo-Kaspiyskiy', '66 Hansons Parkway');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 25922, 'Ban Talat Bueng', '0241 Bonner Pass');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 18563, 'Montecristi', '198 Dixon Pass');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 83190, 'Aparecida de Goiânia', '96777 Oxford Parkway');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 31455, 'Coratatal', '631 Boyd Place');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 76777, 'Roissy Charles-de-Gaulle', '773 Kipling Junction');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 95933, 'Poretskoye', '44855 Gerald Circle');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 81513, 'Bronkhorstspruit', '7979 Moulton Lane');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 69803, 'Katrineholm', '6 Veith Circle');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 35214, 'Coté-Lai', '06327 Surrey Terrace');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 85648, 'Avaré', '3829 Anhalt Terrace');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 17673, 'Limoncito', '4 Brickson Park Circle');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 34880, 'A-da-Gorda', '9032 Hanson Avenue');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 67805, 'Teryayevo', '378 Merrick Trail');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 91031, 'Wang Nam Yen', '9 Buell Street');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 77932, 'Santa Quitéria do Maranhão', '52363 Park Meadow Trail');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 21017, 'Kupusina', '991 Vahlen Park');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 28737, 'Shal’skiy', '1 Packers Terrace');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 81487, 'Panitan', '42573 Daystar Alley');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 65797, 'Myślenice', '2421 Waxwing Terrace');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 72994, 'Avdzaga', '13 Gulseth Way');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 20132, 'Kutasari', '70 Reinke Road');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 29059, 'Taipinghu', '9142 Bartelt Center');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 27892, 'Perpignan', '49357 Buell Crossing');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 75020, 'Mukdahan', '94448 Brown Way');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 75351, 'Carora', '6372 Badeau Junction');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 48649, 'Samsan', '60397 Oak Valley Park');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 77482, 'Smiřice', '664 Autumn Leaf Trail');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 57623, 'Gonābād', '96262 Golf View Terrace');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 92609, 'Kayes', '35 Village Terrace');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 53759, 'Mossendjo', '64918 Donald Park');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 97963, 'Santa Rosa', '3932 Manley Way');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 98981, 'Huatan', '0 Ridgeway Hill');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 31597, 'Agía Paraskeví', '268 Drewry Park');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 86378, 'Drien Rampak', '453 West Pass');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 81507, 'Sourotí', '801 Namekagon Plaza');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 88745, 'Lubochnia', '42159 Springview Trail');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 14040, 'Cardal', '918 Judy Alley');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 79576, 'Mulawato', '9 Larry Court');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 88124, 'Pisan', '2844 Declaration Crossing');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 68407, 'Wufeng', '27 Arkansas Hill');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 43956, 'Povorino', '043 Maple Avenue');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 81848, 'Kuala Bintang', '4 Laurel Place');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 89330, 'Thomassique', '1617 Harbort Lane');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 23399, 'New Panamao', '173 Buell Place');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 25005, 'Zhoujiaba', '98 Kensington Junction');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 71818, 'Houxixi', '320 Park Meadow Alley');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 97695, 'Kowingir', '15 Cherokee Point');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 79548, 'Cajolá', '20 Luster Hill');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 27489, 'Shenzhong', '90 Stone Corner Parkway');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 85178, 'Madang', '01 Grover Center');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 61895, 'Chongxing', '74 Claremont Court');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 53041, 'Yuanlin', '6 Reindahl Trail');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 40140, 'Boulaouane', '59 Schlimgen Road');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 18849, 'Ar Ruţbah', '353 Holy Cross Terrace');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 30665, 'Hidalgo', '3990 Carioca Alley');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 72718, 'Velké Opatovice', '1642 Monument Junction');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 54626, 'Maji', '94266 Sunnyside Street');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 66275, 'Hongxing', '1606 Birchwood Circle');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 25063, 'Tōkamachi', '9 Troy Plaza');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 20510, 'Itabaiana', '84584 Haas Parkway');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 13233, 'Vale de Figueira', '8 Upham Parkway');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 81027, 'Gongfang', '78 Caliangt Trail');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 90114, 'Sandaowan', '826 Lunder Lane');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 58611, 'Lae', '8447 Morningstar Parkway');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 76130, 'Hamanoichi', '99 Manufacturers Circle');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 10107, 'Krajan Craken', '49228 Fallview Lane');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 87901, 'Tianzhen', '13 Doe Crossing Trail');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 74125, 'Auxerre', '7721 Bayside Road');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 63883, 'Saltsjöbaden', '69179 David Alley');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 38156, 'Shiqiao', '2686 Scoville Parkway');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 37762, 'Ban Phaeo', '892 8th Street');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 87599, 'La Labor', '4 Westridge Street');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 39138, 'Basar', '3516 Lien Junction');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 36336, 'Rio Largo', '5494 Helena Terrace');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 81525, 'Gorodishche', '8 Kropf Lane');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 12818, 'Nahuo', '8 Sloan Way');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 33697, 'Maliang', '2221 Delladonna Parkway');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 20913, 'Chapelton', '2 Forest Plaza');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 54002, 'Rahayu', '0 Lillian Court');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 53176, 'Yungaisi', '7169 Kingsford Terrace');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 61178, 'Krajan', '44884 Florence Circle');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 12719, 'Magallanes', '58 Florence Court');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 79956, 'Carmen', '41851 Fairfield Alley');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 53150, 'Jūrat ash Sham‘ah', '5717 Mccormick Crossing');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 27924, 'Tumbi', '562 Calypso Pass');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 94245, 'Santa Teresa', '27804 8th Place');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 62007, 'Trelew', '7304 Sycamore Alley');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 85967, 'Yên Lạc', '967 Garrison Hill');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 71540, 'Xuancheng', '68 Vermont Place');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 45779, 'Yangjiaping', '35 Eastlawn Pass');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 43857, 'Piątnica', '664 Pine View Center');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 48226, 'Sumurasin', '9 Lien Trail');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 76160, 'Mianduhe', '0403 Scofield Drive');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 54227, 'Yalagüina', '5403 American Road');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 73845, 'Juliaca', '78970 Brentwood Place');
